Timestamp,Ngp,Npt,HPC_ASV_Command,HPC_ASV_Position,HPC_Surge_Margin,HPC_ASC_Flow_DP,HPC_Suction_Press,HPC_Discharge_Press
2024-05-08 01:19:00+00:00,95.7383,85.6062,91.406,91.3812,11.866,80.949,104.1026,267.557
2024-05-08 01:20:00+00:00,95.74,85.6089,91.8976,91.8641,12.4813,81.8406,103.9126,267.2803
2024-05-08 01:21:00+00:00,95.5315,85.4656,91.798,92.2542,11.6613,80.7499,103.685,267.0184
2024-05-08 01:22:00+00:00,95.4327,85.2958,90.2297,90.3154,11.2512,79.44,103.8475,266.0187
2024-05-08 01:23:00+00:00,95.6164,85.4335,90.7707,90.8301,12.6486,81.5571,104.2656,266.8339
2024-05-08 01:24:00+00:00,95.4716,85.3128,91.0236,90.9615,11.8073,80.3295,103.7458,266.2124
2024-05-08 01:25:00+00:00,95.5064,85.2826,89.7481,89.9975,11.685,79.7907,104.0287,266.0898
2024-05-08 01:26:00+00:00,95.6656,85.4702,90.3824,90.5232,13.8108,82.908,104.4878,266.6677
2024-05-08 01:27:00+00:00,95.6626,85.4438,91.0426,90.886,13.6471,82.8799,103.9797,266.3818
2024-05-08 01:28:00+00:00,95.5776,85.349,91.1575,91.2231,12.8477,81.5399,104.0651,266.1273
2024-05-08 01:29:00+00:00,95.408,85.2462,89.7499,90.0105,11.6977,79.7633,103.9132,265.711
2024-05-08 01:30:00+00:00,95.6558,85.4419,89.9508,89.8557,12.8387,81.3876,104.4387,266.3884
2024-05-08 01:31:00+00:00,95.6938,85.5674,90.9314,90.9185,12.2308,81.098,104.0018,266.9048
2024-05-08 01:32:00+00:00,95.6279,85.551,91.378,91.4985,11.7545,80.743,103.6926,266.9872
2024-05-08 01:33:00+00:00,95.4796,85.365,91.4211,91.5976,11.7492,80.2296,103.6538,266.0403
2024-05-08 01:34:00+00:00,95.4637,85.3284,89.9676,90.0277,11.2561,79.5594,103.6538,266.0522
2024-05-08 01:35:00+00:00,95.4745,85.3241,89.6302,89.6565,12.684,80.8789,104.4244,265.8971
2024-05-08 01:36:00+00:00,95.5867,85.5282,90.3648,90.6159,12.8686,81.4682,104.3576,266.4465
2024-05-08 01:37:00+00:00,95.595,85.5899,90.9818,91.1013,12.1356,81.0425,103.9395,266.9258
2024-05-08 01:38:00+00:00,95.3258,85.324,87.6031,88.9402,9.6756,77.1311,103.6845,265.825
2024-05-08 01:39:00+00:00,95.5922,85.5544,88.7251,88.8891,13.6373,82.455,104.4159,266.2126
2024-05-08 01:40:00+00:00,95.6194,85.7124,90.0095,90.0186,13.6195,82.7211,104.1649,266.5073
2024-05-08 01:41:00+00:00,95.506,85.6293,90.7012,90.9544,12.0787,80.986,103.7215,266.729
2024-05-08 01:42:00+00:00,95.3289,85.438,88.5213,88.5424,10.8825,78.7981,103.6538,265.476
2024-05-08 01:43:00+00:00,95.4956,85.552,88.7741,88.804,12.3556,80.483,104.2301,265.7686
2024-05-08 01:44:00+00:00,95.7602,85.775,90.246,90.3535,13.4196,82.6562,104.1332,266.8339
2024-05-08 01:45:00+00:00,95.6398,85.7185,91.2535,91.4901,11.8768,80.9903,103.7152,267.1809
2024-05-08 01:46:00+00:00,95.4518,85.4677,90.5142,90.9281,10.7956,79.1415,103.6538,266.4507
2024-05-08 01:47:00+00:00,95.4776,85.527,90.1148,90.2504,10.9339,79.2719,103.6538,266.3141
2024-05-08 01:48:00+00:00,95.6026,85.5328,89.8784,89.7059,13.8025,83.0644,104.2151,266.5012
2024-05-08 01:49:00+00:00,95.5615,85.5201,90.2925,90.0823,12.7354,81.7117,103.7502,266.3462
2024-05-08 01:50:00+00:00,95.5954,85.4689,89.2615,89.1179,13.6513,82.4596,104.028,265.7528
2024-05-08 01:51:00+00:00,95.6944,85.6017,90.2116,90.3952,13.372,82.4653,104.1026,266.586
2024-05-08 01:52:00+00:00,95.5246,85.5228,90.55,90.6731,10.8396,78.992,103.9161,266.5763
2024-05-08 01:53:00+00:00,95.3605,85.4086,90.0602,90.1331,10.0368,77.6935,103.6892,265.9715
2024-05-08 01:54:00+00:00,95.3369,85.2696,88.2433,88.4071,11.595,79.0716,104.4122,265.4862
2024-05-08 01:55:00+00:00,95.7978,85.7339,89.9626,90.0048,15.3034,85.2359,104.7409,267.3125
2024-05-08 01:56:00+00:00,95.6157,85.619,91.9063,92.0575,12.513,81.7188,103.8433,267.1008
2024-05-08 01:57:00+00:00,95.3874,85.3961,91.9982,92.3489,11.5016,80.3568,103.6538,266.7949
2024-05-08 01:58:00+00:00,95.4873,85.5191,89.0283,89.0533,12.967,81.6991,104.0405,265.9895
2024-05-08 01:59:00+00:00,95.7016,85.6459,89.5748,89.4923,14.2137,83.284,104.6825,266.6387
2024-05-08 02:00:00+00:00,95.7971,85.7863,91.9057,91.7187,14.9347,85.2733,104.0023,267.3428
2024-05-08 02:01:00+00:00,95.5034,85.5581,93.2663,93.2388,11.6157,80.8918,103.2982,267.0493
2024-05-08 02:02:00+00:00,95.4453,85.2921,89.9524,89.784,12.8527,81.2882,103.9784,265.4406
2024-05-08 02:03:00+00:00,95.4346,85.3798,90.2008,89.9996,12.7761,81.4051,104.1026,266.1589
2024-05-08 02:04:00+00:00,95.6688,85.5074,90.9916,90.916,14.0388,83.4939,104.2927,266.8846
2024-05-08 02:05:00+00:00,95.6193,85.5122,91.5593,91.8013,13.1548,82.3056,104.1341,266.7944
2024-05-08 02:06:00+00:00,95.4139,85.3447,90.3703,90.5105,11.9675,80.175,104.1026,266.0022
2024-05-08 02:07:00+00:00,95.3797,85.3294,89.9687,90.2022,11.6412,79.5858,104.1026,265.8654
2024-05-08 02:08:00+00:00,95.5359,85.3684,89.4361,89.6139,12.8828,81.2894,104.4882,266.251
2024-05-08 02:09:00+00:00,95.4509,85.3816,90.3468,90.2925,12.1974,80.6203,104.1646,266.1208
2024-05-08 02:10:00+00:00,95.5622,85.5287,91.1788,91.1623,13.1484,82.3557,104.1026,266.863
2024-05-08 02:11:00+00:00,95.3925,85.3225,90.6423,90.7116,12.1915,80.8286,104.1026,266.6069
2024-05-08 02:12:00+00:00,95.4306,85.3599,89.9767,90.0673,12.1678,80.5048,104.2922,266.3489
